player,team,touches,touch_map_saved,error
Luca Kerber,FC Heidenheim,208,True,
Luca Netz,Borussia M.Gladbach,568,True,
Luca Reggiani,Borussia Dortmund,453,True,
Luca Waldschmidt,FC Koln,364,True,
Lucas Höler,Freiburg,917,True,
Lucas Vázquez,Leverkusen,360,True,
Luis Díaz,Bayern,1875,True,
Luka Vuskovic,Hamburg,2071,True,
Lukas Klostermann,RBL,71,True,
Lukas Kübler,Freiburg,1052,True,
Lukas Ullrich,Borussia M.Gladbach,813,True,
Léo Scienza,FC Heidenheim,89,True,
Maarten Vandevoordt,RBL,512,True,
Mads Pedersen,Augsburg,147,True,
Mahmoud Dahoud,Eintracht Frankfurt,478,True,
Malik Tillman,Leverkusen,1159,True,
Manolis Saliakas,St. Pauli,841,True,
Manuel Neuer,Bayern,876,True,
Marcel Sabitzer,Borussia Dortmund,1051,True,
Marco Friedl,Werder Bremen,2248,True,
Marco Grüll,Werder Bremen,1101,True,
Marin Ljubicic,Union Berlin,11,True,
Mario Götze,Eintracht Frankfurt,648,True,
Marius Bülter,FC Koln,719,True,
Marius Wolf,Augsburg,622,True,
Mark Flekken,Leverkusen,961,True,
Marnon Busch,FC Heidenheim,1142,True,
Martijn Kaars,St. Pauli,493,True,
Martin Terrier,Leverkusen,347,True,
Marvin Friedrich,Borussia M.Gladbach,140,True,
Marvin Pieringer,FC Heidenheim,690,True,
Marvin Schwäbe,FC Koln,1873,True,
Matheo Raab,Union Berlin,46,True,
Mathias Honsak,FC Heidenheim,633,True,
Mathias Pereira Lage,St. Pauli,930,True,
Mathias Rasmussen,St. Pauli,414,True,
Matthias Ginter,Freiburg,2204,True,
Mattias Svanberg,Wolfsburg,415,True,
Max Finkgräfe,RBL,478,True,
Max Moerstedt,Hoffenheim,199,True,
Max Rosenfelder,Freiburg,318,True,
Max Wöber,Werder Bremen,20,True,
Maxim Leitsch,Mainz,122,True,
Maximilian Arnold,Wolfsburg,1361,True,
Maximilian Beier,Borussia Dortmund,1036,True,
Maximilian Eggestein,Freiburg,1934,True,
Maximilian Mittelstädt,Stuttgart,1987,True,
Maximilian Philipp,Freiburg,13,True,
Maycon Cardozo,Bayern,24,True,
Merlin Röhl,Freiburg,40,True,
Mert Kömür,Augsburg,800,True,
Michael Gregoritsch,Augsburg,339,True,
Michael Olise,Bayern,2346,True,
