player,team,touches,final_third_saved,avg_position_saved,error
Stefan Ortega,Nottingham Forest,81,False,True,
Stefanos Tzimas,Brighton,58,True,True,
Sven Botman,Newcastle,1521,True,True,
Séamus Coleman,Everton,26,True,True,
Taiwo Awoniyi,Nottingham Forest,161,True,True,
Tammy Abraham,Aston Villa,75,True,True,
Tawanda Chirewa,Wolves,10,True,True,
Thierno Barry,Everton,678,True,True,
Tijjani Reijnders,Man City,1103,True,True,
Tim Iroegbunam,Everton,796,True,True,
Timothy Castagne,Fulham,1218,True,True,
Tino Livramento,Newcastle,1010,True,True,
Tolu Arokodare,Wolves,601,True,True,
Tom Cairney,Fulham,787,True,True,
Tom Edozie,Wolves,16,True,True,
Tom Watson,Brighton,31,True,True,
Tomás Soucek,West Ham,1231,True,True,
Tosin Adarabioyo,Chelsea,874,True,True,
Toti Gomes,Wolves,1058,True,True,
Trai Hume,Sunderland,1725,True,True,
Trevoh Chalobah,Chelsea,2689,True,True,
Trey Nyoni,Liverpool,30,True,True,
Tyler Adams,Bournemouth,1312,True,True,
Tyler Dibling,Everton,211,True,True,
Tyler Fletcher,Man Utd,20,True,True,
Tyrell Malacia,Man Utd,23,True,True,
Tyrick Mitchell,Crystal Palace,2035,True,True,
Tyrique George,Chelsea,46,True,True,
Tyrique George,Everton,147,True,True,
Tyrone Mings,Aston Villa,1109,True,True,
Valentín Castellanos,West Ham,454,True,True,
Veljko Milosavljevic,Bournemouth,248,True,True,
Victor Lindelöf,Aston Villa,717,True,True,
Viktor Gyökeres,Arsenal,655,True,True,
Virgil van Dijk,Liverpool,3261,True,True,
Vitalii Mykolenko,Everton,2018,True,True,
Vitaly Janelt,Brentford,1081,True,True,
Walter Benítez,Crystal Palace,36,False,True,
Wataru Endo,Liverpool,140,True,True,
Wesley Fofana,Chelsea,1572,True,True,
Wilfried Gnonto,Leeds,368,True,True,
Will Hughes,Crystal Palace,949,True,True,
William Osula,Newcastle,228,True,True,
William Saliba,Arsenal,2414,True,True,
Wilson Isidor,Sunderland,303,True,True,
Wilson Odobert,Tottenham,548,True,True,
Xavi Simons,Tottenham,1274,True,True,
Yankuba Minteh,Brighton,1311,True,True,
Yasin Ayari,Brighton,1325,True,True,
Yehor Yarmoliuk,Brentford,1785,True,True,
Yerson Mosquera,Wolves,1405,True,True,
Yoane Wissa,Newcastle,162,True,True,
Youri Tielemans,Aston Villa,1488,True,True,
Yves Bissouma,Tottenham,408,True,True,
Yéremy Pino,Crystal Palace,1265,True,True,
Zach Abbott,Nottingham Forest,107,True,True,
Zeki Amdouni,Burnley,36,True,True,
Zian Flemming,Burnley,589,True,True,
Álex Jiménez,Bournemouth,1478,True,True,
