player,team,touches,touch_map_saved,error
Nicolás Fonseca,Real Oviedo,734,True,
Nobel Mendy,Rayo Vallecano,1290,True,
Obed Vargas,Atletico,452,True,
Odysseas Vlachodimos,Sevilla,1277,True,
Oier Luengo,Real Oviedo,115,True,
Oihan Sancet,Athletic Club,907,True,
Omar El Hilali,Espanyol,1950,True,
Omar Falah,Real Oviedo,14,True,
Omar Mascarell,Mallorca,1396,True,
Oriol Rey,Levante,734,True,
Orri Óskarsson,Real Sociedad,225,True,
Oso,Sevilla,810,True,
Ovie Ejaria,Real Oviedo,150,True,
Pablo Agudín,Real Oviedo,49,True,
Pablo Barrios,Atletico,1398,True,
Pablo Campos,Levante,90,True,
Pablo Durán,Celta Vigo,580,True,
Pablo Fornals,Real Betis,2350,True,
Pablo García,Real Betis,210,True,
Pablo Ibáñez,Deportivo Alaves,1584,True,
Pablo Maffeo,Mallorca,1688,True,
Pablo Martínez,Levante,1024,True,
Pablo Marín,Real Sociedad,653,True,
Pablo Torre,Mallorca,1166,True,
Pacha Espino,Rayo Vallecano,1060,True,
Paco Cortés,Levante,217,True,
Pape Gueye,Villarreal,1501,True,
Pathé Ciss,Rayo Vallecano,1507,True,
Pau Cubarsí,Barcelona,3085,True,
Pau López,Real Betis,329,True,
Pau Navarro,Villarreal,1335,True,
Paulo Gazzaniga,Girona,1497,True,
Pedri,Barcelona,2469,True,
Pedro Bigas,Elche,1914,True,
Pedro Díaz,Rayo Vallecano,1094,True,
Pelayo Fernández,Rayo Vallecano,41,True,
Pep Chavarría,Rayo Vallecano,2092,True,
Pepelu,Valencia,1718,True,
Peque Fernández,Sevilla,596,True,
Pere Milla,Espanyol,929,True,
Pol Lozano,Espanyol,1237,True,
Portu,Girona,149,True,
Rafa Marín,Villarreal,1371,True,
Rafa Mir,Elche,693,True,
Rahim Alhassane,Real Oviedo,1239,True,
Ramón Martínez,Sevilla,72,True,
Ramón Terrats,Espanyol,514,True,
Randy Nteka,Rayo Vallecano,186,True,
Raphinha,Barcelona,984,True,
Rayane Belaid,Atletico,59,True,
Raúl Asencio,Real Madrid,1389,True,
Raúl García,Osasuna,448,True,
Raúl Moro,Osasuna,284,True,
Renato Veiga,Villarreal,1879,True,
Renzo Saravia,Valencia,241,True,
Ricardo Rodríguez,Real Betis,911,True,
Robert Lewandowski,Barcelona,580,True,
Robert Navarro,Athletic Club,769,True,
Roberto Fernández,Espanyol,754,True,
Robin Le Normand,Atletico,1286,True,
Rodrigo Mendoza,Atletico,311,True,
Rodrigo Mendoza,Elche,578,True,
Rodrigo Riquelme,Real Betis,512,True,
Rodrygo,Real Madrid,542,True,
Roger Brugué,Levante,439,True,
Ronald Araujo,Barcelona,993,True,
Roony Bardghji,Barcelona,529,True,
Rubén García,Osasuna,1315,True,
Rubén Sánchez,Espanyol,584,True,
Rubén Vargas,Sevilla,950,True,
Salomón Rondón,Real Oviedo,377,True,
Samu Becerra,Rayo Vallecano,15,True,
Samú Costa,Mallorca,1864,True,
Santi Cazorla,Real Oviedo,763,True,
Santi Comesaña,Villarreal,1617,True,
Santiago Colombatto,Real Oviedo,1355,True,
Santiago Mouriño,Villarreal,1956,True,
Sebastián Boselli,Getafe,178,True,
Selton Sánchez,Athletic Club,108,True,
Sergi Altimira,Real Betis,979,True,
Sergi Cardona,Villarreal,1324,True,
Sergi Darder,Mallorca,1659,True,
Sergio Camello,Rayo Vallecano,391,True,
Sergio Carreira,Celta Vigo,2124,True,
Sergio Gómez,Real Sociedad,2304,True,
Sergio Herrera,Osasuna,1419,True,
Sergio Lozano,Levante,12,True,
Sheraldo Becker,Osasuna,85,True,
Sofyan Amrabat,Real Betis,1067,True,
Stanis Idumbo,Sevilla,18,True,
Stole Dimitrievski,Valencia,830,True,
Tajon Buchanan,Villarreal,895,True,
Takefusa Kubo,Real Sociedad,894,True,
Takuma Asano,Mallorca,248,True,
Tanguy Nianzou,Sevilla,437,True,
Tani Oluwaseyi,Villarreal,273,True,
Tay Abed,Levante,46,True,
Tete Morente,Elche,561,True,
Thiago Almada,Atletico,964,True,
Thiago Borbas,Real Oviedo,77,True,
Thiago Fernández,Real Oviedo,477,True,
Thiago Pitarch,Real Madrid,497,True,
Thibaut Courtois,Real Madrid,1273,True,
Thierry Correia,Valencia,1029,True,
Thomas Lemar,Girona,942,True,
Thomas Partey,Villarreal,697,True,
Tomás Marqués,Barcelona,14,True,
Toni Fernández,Barcelona,11,True,
Toni Lato,Mallorca,366,True,
Toni Martínez,Deportivo Alaves,1121,True,
Trent Alexander-Arnold,Real Madrid,1157,True,
Tyrhys Dolan,Espanyol,1163,True,
Ugo Raghouber,Levante,471,True,
Umar Sadiq,Real Sociedad,51,True,
Umar Sadiq,Valencia,389,True,
Unai Elgezabal,Levante,542,True,
