player,team,touches,touch_map_saved,error
Roman Yaremchuk,Lyon,170,True,
Ruben Aguilar,Lens,1355,True,
Ruben Kluivert,Lyon,564,True,
Rudy Matondo,Auxerre,332,True,
Rudy Matondo,Paris FC,408,True,
Rémi Himbert,Lyon,65,True,
Rémy Cabella,Nantes,528,True,
Rémy Descamps,Lyon,178,True,
Rémy Labeau Lascary,Brest,487,True,
Sadibou Sané,Metz,1783,True,
Salis Abdul Samed,Nice,539,True,
Sam Amo-Ameyaw,Strasbourg,710,True,
Sambou Soumano,Lorient,332,True,
Samir Chergui,Paris FC,753,True,
Samir El Mourabet,Strasbourg,1811,True,
Samson Baidoo,Lens,1315,True,
Santiago Hidalgo,Toulouse,626,True,
Saud Abdulhamid,Lens,942,True,
Saël Kumbedi,Lyon,28,True,
Sebastian Nanasi,Strasbourg,562,True,
Sebastian Szymanski,Rennes,508,True,
Seko Fofana,Rennes,459,True,
Senny Mayulu,PSG,1135,True,
Seny Koumbassa,Toulouse,237,True,
Sidiki Cherif,Angers,414,True,
Simon Adingra,Monaco,587,True,
Simon Ebonog,Le Havre,828,True,
Sinaly Diomandé,Auxerre,1256,True,
Sofiane Boufal,Le Havre,664,True,
Sofiane Diop,Nice,1320,True,
Soriba Diaoune,Lille,124,True,
Soumaïla Coulibaly,Brest,924,True,
Stanis Idumbo,Monaco,87,True,
Steeve Kango,Lyon,80,True,
Stephan Zagadou,Le Havre,271,True,
Sékou Doucouré,Nantes,67,True,
Sékou Mara,Auxerre,480,True,
Tadjidine Mmadi,Marseille,40,True,
Takumi Minamino,Monaco,446,True,
Tanguy Ndombélé,Nice,123,True,
Tanner Tessmann,Lyon,1399,True,
Telli Siwe,Auxerre,131,True,
Terem Moffi,Nice,138,True,
Terry Yegbe,Metz,1443,True,
Thibault De Smet,Paris FC,820,True,
Thilo Kehrer,Monaco,2050,True,
Thomas Delaine,Le Havre,188,True,
Thomas Meunier,Lille,1497,True,
Théo De Percin,Auxerre,255,True,
Théo Le Bris,Lorient,1007,True,
Tiago Gouveia,Nice,312,True,
Tiago Santos,Lille,516,True,
Tidiane Devernois,Auxerre,13,True,
Timothy Weah,Marseille,1482,True,
Timothée Kolodziejczak,Paris FC,469,True,
Timothée Pembélé,Le Havre,246,True,
Tochukwu Nnadi,Marseille,228,True,
Tom Louchet,Nice,834,True,
Tuomas Ollila,Paris FC,206,True,
Tylel Tati,Nantes,1157,True,
Tyler Morton,Lyon,1921,True,
Tyrese Noubissie,Strasbourg,53,True,
Ugo El Kadmiri,Marseille,11,True,
Ulisses Garcia,Marseille,125,True,
Uros Radakovic,Nantes,42,True,
Valentin Rongier,Rennes,2490,True,
Valentín Barco,Strasbourg,2057,True,
Vanderson,Monaco,593,True,
Vincent Burlet,Lille,18,True,
Vincent Marchetti,Paris FC,510,True,
Vitinha,PSG,2998,True,
Warren Kamanzi,Toulouse,450,True,
Warren Zaïre-Emery,PSG,2487,True,
Wesley Saïd,Lens,1009,True,
Willem Geubbels,Paris FC,344,True,
Willian Pacho,PSG,1924,True,
Wout Faes,Monaco,918,True,
Yanis Zouaoui,Le Havre,1739,True,
Yann Gboho,Toulouse,1413,True,
Yassin Belkhdim,Angers,1045,True,
Yassine Benhattab,Nantes,248,True,
Yassine Kechta,Le Havre,690,True,
Yassir Zabiri,Rennes,37,True,
Yaya Diémé,Strasbourg,31,True,
Younes Namli,Le Havre,195,True,
Youssef El-Arabi,Nantes,432,True,
Youssouf Ndayishimiye,Nice,30,True,
Yvon Mvogo,Lorient,1391,True,
Yéhvann Diouf,Nice,1005,True,
Étienne Youté,Le Havre,262,True,
